mintemp,maxtemp,rain
27.9,32.8,0
27.6,34.7,0.7
27.8,34.7,0
27,34.5,4.5
27.6,34,3.5
26.5,33.7,0
27.5,33.4,5.3
22,33,0
23,32,0
23,33,0
23,32,0
22,35,0
23,35,0
22,35,0
22,35,0
22,35,0
23,36,0
22,35,0
22,33,0
22,33,0
22,34,0
22,34,0
22,35,0
22,34,0
23,34,0
23,32,0
22,33,0
22,32,0
22,35,0
22,33,0
22,36,0
24,34,0
23,34,0
23,33,0
22,33,0
21,33,0
22,33,0
22,33,0
22,32,0
22,36,0
22,35,0
23,34,0
23,30,0
22,35,0
22,32,0
21,34,0
22,35,0
22,37,0
21,36,3.4
24,34,3.3
23,34,0
24,35,0
22,36,0
22,35,0
23,31,0
23,33,2.6
24,33,0.4
23,31,0
23,31,0
21,29,0
21,33,0.9
21,33,0
21,32,0
21,31,0
21,31,0
21,33,0
22,32,0
22,33,0
22,36,0
22,34,0
23,36,0
23,35,0
23,31,0
23,33,0
23,33,0
22,32,0
22,30,0
21,31,0
22,32,0
21,32,0
19,32,0
21,33,0
21,33,0
21,33,0
23,34,0
21,34,0
21,33,0
20,33,0
21,33,0
20,32,0
21,31,0
20,33,0
21,32,0
20,32,0
21,33,0
20,32,0
25,31,0
21,32,0
